구분,가게이름,카테코리(대),카테고리(중),주소,link,caption,lat,lon,benefit
11,필라테스 휘티니스베이,건강,필라테스,서울 광진구 화양도193 201호,https://www.instagram.com/p/DGx66ilvW60/?utm_source=ig_web_copy_link&igsh=ejhlMmk4djViODhz,[건국대학교 총학생회 그린 X 필라베이&휘트니스베이 PT],37.54418383,127.0700473,가입 횟수와 상관없이 그룹 필라테스 2회 추가 및 기간 15일 추가 증정 및 헬스 개인 PT 1회 제공
12,필라테스 필라베이 휘트니스,건강,필라테스,서울 광진구 동일로30길 52 2층,https://www.instagram.com/p/DGx6xSAvaC-/?utm_source=ig_web_copy_link&igsh=anRjaTgzeGFpaXAx,[건국대학교 총학생회 그린 X 필라베이휘트니스화양세종대점],37.54740058,127.0701832,가입 횟수와 상관없이 그룹 필라테스 2회 및 기간 15일 추가 증정 및 헬스 개인 PT 1회 제공
13,타운케이 헬스&PT 건대점,건강,헬스장,서울 광진구 능동로13길 39 한아름쇼핑센터 2층 휘트니스타운케이,https://www.instagram.com/p/DGx6lf_Pc3E/?utm_source=ig_web_copy_link&igsh=MWRwY3hhOXhlMGgwMw==,[건국대학교 총학생회 그린 X 휘트니스 타운케이],37.54395902,127.0697577,"1. 헬스 4개월- 24만원
2. PT 10회+1개월-70만원, PT 20회+2개월-130만원
(부가세 포함 금액, 네이버 영수증 필수, 할당, 환불, 양도 불가 상품)"
14,그루트 클라이밍,건강,암벽등반,서울특별시 성동구 성수일로 19 유한타워 지하2층,https://www.instagram.com/p/DNGIiGCvraM/?utm_source=ig_web_copy_link&igsh=dzVsbjkwaDlldmNo,[건국대학교 총학생회 그린 X 그루트 클라이밍],37.54233342,127.0485653,"1. 일일이용권: 15,000원 (암벽화 대여 무료 포함)
2. 정기권 할인 : 주중권 결제 시 10,000원 할인, 1개월권 결제 시: 20,000원 할인
3. 일일체험강습: 5,000원 할인(체험 후 스타터패키지 등록 시, 체험비 전액 환불)
4. 재학생, 휴학생, 대학원생 모두 이용 가능, 클라이밍 경험 없을 시, 일일체험강습 필수 수강"
15,약손명가,건강,"피부, 체형관리",약손명가 전국 전 지점,https://www.instagram.com/p/DM157wSv8_p/?utm_source=ig_web_copy_link&igsh=dzM2d2hxZ2xuaG44,[건국대학교 총학생회 그린 X 약손명가 제휴 안내],,,"1. 신규 고객 대상 10회 이상 총액 10% 할인
2. 재티켓 10회 이상 총액 5% 할인"
16,다빈치보드게임카페,교육/엔터,보드카페,서울특별시 광진구 화양동 7-12 6층 다빈치보드게임카페,https://www.instagram.com/alliance.student.konkuk/p/DN3RV673un6/,[건국대학교 총학생회 그린 X 다빈치보드게임카페],37.5407394,127.0695861,"1시간에 2000원, 단체 이용시 정액요금제 사용 가능(평일) (단, 입실 전 학생증 제시)"
17,원플레이 건대점,교육/엔터,오락시설,"서울특별시 광진구 화양동 5-43 2층, 3층",https://www.instagram.com/alliance.student.konkuk/p/DHsG89JPugt/,[건국대학교 총학생회 그린 X 원플레이 건대점],37.54175611,127.0712148,"1. 2시간 이용 시 1시간 추가 이용권 제공
2. 4인 이상 방문 시 팝콘, 츄러스 중 택 1 제공
3. 평일 11:30~14:30 사이 6,000원 이상 식사 구매시 1시간 무료 이용권 제공(공휴일 제외)"
18,거북이 보드게임 건대,교육/엔터,보드카페,서울특별시 광진구 화양동 12-36 지하1층,https://www.instagram.com/alliance.student.konkuk/p/DGx6U4YPicP/,[건국대학교 총학생회 그린 X 거북이 보드게임 건대],37.54362545,127.0704062,"평일 종일권 10% 할인, 주말 종일권 13% 할인"
19,건대 놀거리 셀프사진관 데이트코스 흑백공간,교육/엔터,"셀프,대여스튜디오",서울특별시 광진구 화양동 5-16 폴라리스빌딩 3층,https://www.instagram.com/alliance.student.konkuk/p/DGx6RPIvIJf/,[건국대학교 총학생회 그린 X 건대 놀거리 셀프사진관 데이트코스 흑백공간],37.54218323,127.0709872,"1. 전체 촬영 원본 구매 시 인원 수 상관없이 1만원 할인
2. 셀렉 사진 한해서 랜덤 2장 추가 제공
3. 보정 파일 에어드롭, 카카오톡 전송 중 택 1 제공
*기념일, 생일날 등 방문 시 액자 증정"
20,그럼피 러버스 건대점,교육/엔터,"꽃집,꽃배달",서울특별시 광진구 자양동 226-9 1층 103호,https://www.instagram.com/alliance.student.konkuk/p/DGx6LVbP29h/,[건국대학교 총학생회 그린 X 그럼피 러버스 건대점],37.538632,127.0759504,2만원 이상 구매 시 총액의 10% 할인
